,name
1,Active Listening
2,Advertising
3,Business Storytelling
4,Written Communication
5,Customer Service
6,Digital Media
7,Information Technology
8,Information and Communications Technology
9,LinkedIn Skills
10,Marketing
11,Microsoft Office Skills
12,Nonverbal Communication
13,Presentation
14,Public Speaking
15,Social Media
16,Technical Support
17,Verbal Communication
18,Accounting
19,Banking
20,Bookkeeping
21,Decision Making
22,Delegation
23,Leadership
24,Organizational Skills
25,Coordinating
26,Collaboration
27,Teamwork
28,Analytical Skills
29,Conflict Management/ Conflict Resolution
30,Critical Thinking
31,Entrepreneurial Spirit
32,Inductive Reasoning
33,Interpersonal Skills
34,Logical Thinking
35,Negotiation
36,Persuasive Skills
37,Problem Solving
38,Research
39,Advertising
40,Drawing
41,Singing
42,Acting
43,Digital Media
44,Editing
45,Fashion Design
46,Fashion Buyer
47,Graphic Design
48,Interior Design
49,Makeup Artist
50,Museum Curator
51,Photography
52,Social Media
53,Television / Film Producer
54,Web Design
55,Writing